HGNC ID	Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:3364	ENTPD2	CD39L1	NTPDase-2	NM_203468	954
HGNC:33641	MIR509-2	MIRN509-2	hsa-mir-509-2	NR_030586	100126301
HGNC:33642	MIR450B	MIRN450B	hsa-mir-450b	NR_030587	100126302
HGNC:33643	MIR874	MIRN874	hsa-mir-874	NR_030588	100126343
HGNC:33644	MIR890	MIRN890	hsa-mir-890	NR_030589	100126303
HGNC:33645	MIR891B	MIRN891B	hsa-mir-891b	NR_030590	100126304
HGNC:33648	MIR888	MIRN888	hsa-mir-888	NR_030592	100126306
HGNC:33649	MIR892B	MIRN892B	hsa-mir-892b	NR_030593	100126307
HGNC:3365	ENTPD3	CD39L3	NTPDase-3, HB6	NM_001248	956
HGNC:33650	MIR541	MIRN541	hsa-mir-541	NR_030594	100126308
HGNC:33651	MIR889	MIRN889	hsa-mir-889	NR_030595	100126345
HGNC:33652	MIR875	MIRN875	hsa-mir-875	NR_030596	100126309
HGNC:33653	MIR876	MIRN876	hsa-mir-876	NR_030597	100126310
HGNC:33654	MIR708	MIRN708	hsa-mir-708	NR_030598	100126333
HGNC:33655	MIR147B	MIRN147B	hsa-mir-147b	NR_030599	100126311
HGNC:33656	MIR190B	MIRN190B	hsa-mir-190b	NR_030600	100126346
HGNC:33658	MIR744	MIRN744	hsa-mir-744	NR_030613	100126313
HGNC:33659	MIR885	MIRN885	hsa-mir-885	NR_030614	100126334
HGNC:33660	MIR877	MIRN877	hsa-mir-877	NR_030615	100126314
HGNC:33661	MIR887	MIRN887	hsa-mir-887	NR_030616	100126347
HGNC:33662	MIR665	MIRN665	hsa-mir-665	NR_030617	100126315
HGNC:33663	MIR873	MIRN873	hsa-mir-873	NR_030618	100126316
HGNC:33664	MIR543	MIRN543	hsa-mir-543	NR_030619	100126335
HGNC:33665	MIR374B	MIRN374B	hsa-mir-374b	NR_030620	100126317
HGNC:33666	MIR760	MIRN760	hsa-mir-760	NR_030621	100126348
